id,budget,original_title,popularity,release_date,revenue,runtime,status,title,vote_average,vote_count,genres_all,genres_major,production_companies_major,production_countries_major,spoken_languages_major
862,30000000,Toy Story,21.946943,35002,373554033,81,Released,Toy Story,7.7,5415,Animation; Comedy; Family,Animation,Pixar Animation Studios,United States of America,English
8844,65000000,Jumanji,17.015539,35048,262797249,104,Released,Jumanji,6.9,2413,Adventure; Fantasy; Family,Adventure,TriStar Pictures,United States of America,English
15602,0,Grumpier Old Men,11.7129,35055,0,101,Released,Grumpier Old Men,6.5,92,Romance; Comedy,Romance,Warner Bros.,United States of America,English
31357,16000000,Waiting to Exhale,3.859495,35055,81452156,127,Released,Waiting to Exhale,6.1,34,Comedy; Drama; Romance,Comedy,Twentieth Century Fox Film Corporation,United States of America,English
11862,0,Father of the Bride Part II,8.387519,34740,76578911,106,Released,Father of the Bride Part II,5.7,173,Comedy,Comedy,Sandollar Productions,United States of America,English
949,60000000,Heat,17.924927,35048,187436818,170,Released,Heat,7.7,1886,Action; Crime; Drama; Thriller,Action,Regency Enterprises,United States of America,English
11860,58000000,Sabrina,6.677277,35048,0,127,Released,Sabrina,6.2,141,Comedy; Romance,Comedy,Paramount Pictures,Germany,FranÃ§ais
45325,0,Tom and Huck,2.561161,35055,0,97,Released,Tom and Huck,5.4,45,Action; Adventure; Drama; Family,Action,Walt Disney Pictures,United States of America,English
9091,35000000,Sudden Death,5.23158,35055,64350171,106,Released,Sudden Death,5.5,174,Action; Adventure; Thriller,Action,Universal Pictures,United States of America,English
710,58000000,GoldenEye,14.686036,35019,352194034,130,Released,GoldenEye,6.6,1194,Adventure; Action; Thriller,Adventure,United Artists,United Kingdom,English
9087,62000000,The American President,6.318445,35020,107879496,106,Released,The American President,6.5,199,Comedy; Drama; Romance,Comedy,Columbia Pictures,United States of America,English
12110,0,Dracula: Dead and Loving It,5.430331,35055,0,88,Released,Dracula: Dead and Loving It,5.7,210,Comedy; Horror,Comedy,Columbia Pictures,France,English
21032,0,Balto,12.140733,35055,11348324,78,Released,Balto,7.1,423,Family; Animation; Adventure,Family,Universal Pictures,United States of America,English
10858,44000000,Nixon,5.092,35055,13681765,192,Released,Nixon,7.1,72,History; Drama,History,Hollywood Pictures,United States of America,English
1408,98000000,Cutthroat Island,7.284477,35055,10017322,119,Released,Cutthroat Island,5.7,137,Action; Adventure,Action,Le Studio Canal+,France,English
524,52000000,Casino,10.137389,35025,116112375,178,Released,Casino,7.8,1343,Drama; Crime,Drama,Universal Pictures,France,English
4584,16500000,Sense and Sensibility,10.673167,35046,135000000,136,Released,Sense and Sensibility,7.2,364,Drama; Romance,Drama,Columbia Pictures Corporation,United Kingdom,English
5,4000000,Four Rooms,9.026586,35042,4300000,98,Released,Four Rooms,6.5,539,Crime; Comedy,Crime,Miramax Films,United States of America,English
9273,30000000,Ace Ventura: When Nature Calls,8.205448,35013,212385533,90,Released,Ace Ventura: When Nature Calls,6.1,1128,Crime; Comedy; Adventure,Crime,O Entertainment,United States of America,English
11517,60000000,Money Train,7.337906,35024,35431113,103,Released,Money Train,5.4,224,Action; Comedy; Crime,Action,Columbia Pictures,United States of America,English
8012,30250000,Get Shorty,12.669608,34992,115101622,105,Released,Get Shorty,6.4,305,Comedy; Thriller; Crime,Comedy,Jersey Films,United States of America,English
1710,0,Copycat,10.701801,34999,0,124,Released,Copycat,6.5,199,Drama; Thriller,Drama,Regency Enterprises,United States of America,English
9691,50000000,Assassins,11.065939,34978,30303072,132,Released,Assassins,6,394,Action; Adventure; Crime; Thriller,Action,Silver Pictures,France,English
12665,0,Powder,12.133094,34999,0,111,Released,Powder,6.3,143,Drama; Fantasy; Science Fiction; Thriller,Drama,Caravan Pictures,United States of America,English
451,3600000,Leaving Las Vegas,10.332025,34999,49800000,112,Released,Leaving Las Vegas,7.1,365,Drama; Romance,Drama,United Artists,United States of America,English
16420,0,Othello,1.845899,35048,0,123,Released,Othello,7,33,Drama,Drama,Columbia Pictures,Italy,English
9263,12000000,Now and Then,8.681325,34992,27400000,100,Released,Now and Then,6.6,91,Comedy; Drama; Family,Comedy,New Line Cinema,United States of America,English
17015,0,Persuasion,2.228434,34969,0,104,Released,Persuasion,7.4,36,Drama; Romance,Drama,BBC Films,United Kingdom,English
902,18000000,La CitÃ© des Enfants Perdus,9.822423,34835,1738611,108,Released,The City of Lost Children,7.6,308,Fantasy; Science Fiction; Adventure,Fantasy,Procirep,France,å¹¿å·žè¯ / å»£å·žè©±
37557,0,æ‘‡å•Šæ‘‡ï¼Œæ‘‡åˆ°å¤–å©†æ¡¥,1.100915,34819,0,108,Released,Shanghai Triad,6.5,17,Drama; Crime,Drama,MinistÃ¨re des Affaires Ã‰trangÃ¨res,China,æ™®é€šè¯
9909,0,Dangerous Minds,9.481338,34922,180000000,99,Released,Dangerous Minds,6.4,249,Drama; Crime,Drama,Hollywood Pictures,United States of America,English
63,29500000,Twelve Monkeys,12.297305,35062,168840000,129,Released,Twelve Monkeys,7.4,2470,Science Fiction; Thriller; Mystery,Science Fiction,Universal Pictures,United States of America,English
78802,0,"Guillaumet, les ailes du courage",0.745542,35326,0,50,Released,Wings of Courage,6.8,4,Romance; Adventure,Romance,Iwerks Entertainment,France,English
9598,30000000,Babe,14.404764,34898,254134910,89,Released,Babe,6,756,Fantasy; Drama; Comedy; Family,Fantasy,Universal Pictures,Australia,English
47018,0,Carrington,1.493361,35011,0,121,Released,Carrington,6.4,16,History; Drama; Romance,History,StudioCanal,France,English
687,11000000,Dead Man Walking,6.891317,35062,39363635,122,Released,Dead Man Walking,7.3,350,Drama,Drama,Havoc,United States of America,English
139405,0,Across the Sea of Time,0.114469,34992,0,51,Released,Across the Sea of Time,3.5,2,Adventure; History; Drama; Family,Adventure,Sony New Technologies,United States of America,PÑƒÑÑÐºÐ¸Ð¹
33689,0,It Takes Two,7.777735,35020,0,101,Released,It Takes Two,6.1,149,Comedy; Family; Romance,Comedy,Dualstar Productions,United States of America,English
9603,12000000,Clueless,9.882383,34899,0,97,Released,Clueless,6.9,828,Comedy; Drama; Romance,Comedy,Paramount Pictures,United States of America,EspaÃ±ol
34615,0,"Cry, the Beloved Country",0.894647,35048,676525,106,Released,"Cry, the Beloved Country",6.7,13,Drama,Drama,Miramax,South Africa,English
31174,0,Richard III,4.561387,35062,0,104,Released,Richard III,6.9,50,Drama; War,Drama,British Screen,United Kingdom,English
11443,10000000,Dead Presidents,9.87957,34978,0,119,Released,Dead Presidents,6.6,80,Action; Crime; Drama; History,Action,Caravan Pictures,United States of America,English
35196,19000000,Restoration,10.979269,35062,0,117,Released,Restoration,6.3,30,Drama; Romance,Drama,Miramax Films,United States of America,English
9312,18000000,Mortal Kombat,10.870138,34929,122195920,101,Released,Mortal Kombat,5.4,452,Action; Fantasy,Action,New Line Cinema,United States of America,English
577,20000000,To Die For,10.448481,34839,21284514,106,Released,To Die For,6.7,177,Fantasy; Drama; Comedy; Thriller,Fantasy,The Rank Organisation,United States of America,English
11861,10000000,How To Make An American Quilt,4.485958,34978,23574130,116,Released,How To Make An American Quilt,6.5,38,Drama; Romance,Drama,Universal Pictures,United States of America,English
807,33000000,Se7en,18.45743,34964,327311859,127,Released,Se7en,8.1,5915,Crime; Mystery; Thriller,Crime,New Line Cinema,United States of America,English
10530,55000000,Pocahontas,13.280069,34864,346079773,81,Released,Pocahontas,6.7,1509,Adventure; Animation; Drama; Family,Adventure,Walt Disney Pictures,United States of America,English
8391,0,When Night Is Falling,3.302524,34824,0,96,Released,When Night Is Falling,5.9,10,Drama; Romance,Drama,Alliance Communications Corporation,Canada,English
629,6000000,The Usual Suspects,16.302466,34899,23341568,106,Released,The Usual Suspects,8.1,3334,Drama; Crime; Thriller,Drama,Blue Parrot Productions,United States of America,EspaÃ±ol
117164,0,Guardian Angel,0.595949,34660,0,93,Released,Guardian Angel,6.3,3,Action; Thriller; Drama,Action,,,
11448,15000000,Mighty Aphrodite,15.899134,34955,6700000,95,Released,Mighty Aphrodite,6.7,145,Comedy; Romance,Comedy,Miramax Films,United States of America,English
49133,0,Lamerica,1.361286,34335,0,116,Released,Lamerica,7.7,11,Drama; Foreign,Drama,,Italy,shqip
